名称,product_name,release_year,launch_price_rmb,manufacturer,processor_model,graphics_card_model,storage_type,memory_capacity_gb,memory_speed_mhz,form_factor,rgb_lighting,connectivity,wattage,cooling_solution
Intel Core i7-13700K,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
AMD Ryzen 9 7950X,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
NVIDIA GeForce RTX 4080,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
AMD Radeon RX 7900 XTX,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Samsung 990 Pro 2TB SSD,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Corsair Vengeance LPX 32GB DDR5 5600MHz,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
ASUS ROG Strix Z790-E Gaming WiFi,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
"LG 27GR95QE 27"" 240Hz Gaming Monitor",[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Logitech G Pro X Superlight Wireless Mouse,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
HyperX Cloud Alpha Wireless Gaming Headset,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
MSI MAG B650 Tomahawk WiFi,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Western Digital Black SN850X 1TB SSD,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
G.Skill Trident Z5 Neo 64GB DDR5 6000MHz,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
Seagate Barracuda 2TB HDD,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全]
