名称,name,manufacturer,price,category,release_date,specifications,power_consumption,compatibility,warranty_period,dimensions,weight,product_name,release_year,launch_price_rmb,processor_model,graphics_card_model,storage_type,memory_capacity_gb,memory_speed_mhz,form_factor,rgb_lighting,connectivity,wattage,cooling_solution
Intel Core i9-13900K,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
NVIDIA GeForce RTX 4090,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
AMD Ryzen 9 7950X,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
Samsung 990 Pro SSD,[待补全],三星电子,[待补全],计算机硬件/存储设备,2022年,[待补全],"{'average_active': '5.5W - 7.4W', 'idle': '30mW'}",[待补全],[待补全],[待补全],[待补全],,,,,,,,,M.2 2280,,,,可选散热片版本
Corsair Vengeance RGB DDR5,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
ASUS ROG Strix Z790-E,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
Seagate BarraCuda HDD,[待补全],Seagate Technology,[待补全],Internal Storage,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,2016,,,,,,,3.5-inch,,,,
Cooler Master Hyper 212,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
EVGA SuperNOVA 1000W,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
Logitech G Pro X Keyboard,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
Razer DeathAdder V3 Pro,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
ASUS ROG Swift PG279QM,[待补全],[待补全],[待补全],Computer Monitor,[待补全],[待补全],[待补全],[待补全],[待补全],"{'with_stand': '614 x 370 x 556 mm', 'without_stand': '614 x 370 x 80 mm', 'weight_with_stand': '7.8 kg', 'weight_without_stand': '5.6 kg'}",[待补全],,2021,,,,,,,,,"{'hdmi': '2 x HDMI 2.0', 'displayport': '1 x DisplayPort 1.4', 'usb_hub': '2 x USB 3.0 downstream ports', 'audio': '3.5mm headphone jack'}",,
Western Digital Black SN850X,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
Noctua NH-D15,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
G.Skill Trident Z5 RGB,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
Intel Core i9-13900K,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
NVIDIA GeForce RTX 4090,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
AMD Ryzen 9 7950X,[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],[待补全],,,,,,,,,,,,,
Samsung 990 Pro SSD,[待补全],三星电子,[待补全],计算机硬件/存储设备,2022年9月,[待补全],"{'average_active': '5.5W', 'average_idle': '40mW'}",[待补全],[待补全],[待补全],[待补全],,,,,,,,,M.2 2280,,,,
Corsair Vengeance RGB DDR5,[待补全],Corsair（美商海盗船）,[待补全],计算机硬件/内存,[待补全],[待补全],[待补全],"{'platforms': ['Intel 600/700系列主板', 'AMD AM5平台'], 'lighting_sync': ['Corsair iCUE', 'ASUS Aura Sync', 'Gigabyte RGB Fusion', 'MSI Mystic Light']}",[待补全],[待补全],[待补全],,2021,,,,,,,,,,,
